countries,Region:,image,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Switzerland,,,2376868,2390857,2404184,2416841,2429565,2442355,2455213,2468139,2481133,2494324,2507714,2521305,2535099,2549097,2563173,2577326,2591557,2605867,2620256,2635303,2651014,2667398,2684463,2702214,2720084,2738071,2756177,2774403,2792749,2809606,2824957,2838786,2851078,2861817,2872596,2883415,2894275,2905176,2916119,2931429,2951173,2975415,3004220,3037655,3071462,3105645,3140209,3175158,3210495,3247026,3284773,3323760,3364011,3405550,3447602,3490173,3533270,3576899,3621067,3659307,3691524,3717621,3737498,3751057,3764665,3778322,3792029,3805785,3820013,3834802,3850159,3866086,3882589,3899672,3916830,3934064,3951373,3968759,3986221,4003629,4020984,4038284,4055529,4072717,4089977,4107311,4124719,4142200,4159756,4182688,4211076,4245000,4284539,4329777,4375491,4421689,4468374,4515553,4563229,4614052,4692636,4748099,4811625,4875720,4938947,5002416,5065957,5130587,5196919,5263263,5328275,5434674,5574228,5694677,5789750,5857048,5918589,5992343,6068208,6136805,6181231,6213706,6261160,6307365,6341220,6338272,6302079,6280842,6281527,6294185,6319116,6353701,6390953,6418416,6441452,6469830,6503525,6544455,6592667,6646209,6711685,6795392,6873188,6936123,6991543,7038302,7069694,7086993,7108225,7142199,7182052,7224413,7276479,7330729,7381153,7428437,7475014,7541909,7638288,7734402,7822444,7910988,7995738,8088370,8187792,8281735,8372902,8451688,8514431,8575593,8638609,8691409
Syria,,,1479045,1483349,1487666,1491995,1496336,1500690,1505056,1509434,1513825,1518228,1522644,1527072,1531512,1535966,1540432,1544910,1549401,1553905,1558422,1562951,1567493,1572047,1576614,1581194,1585786,1590391,1595010,1599641,1604286,1608944,1613614,1618298,1622996,1627706,1632430,1637168,1641918,1646682,1651460,1656251,1661056,1665874,1670706,1675551,1680410,1685283,1690170,1695070,1699984,1708254,1719931,1735065,1753708,1775913,1798399,1821170,1844228,1867577,1891222,1915550,1940575,1966311,1992772,2019972,2047543,2075490,2103818,2132532,2162662,2193218,2224205,2255630,2287499,2319818,2352594,2385833,2419542,2453726,2488394,2523552,2559206,2595364,2632033,2669220,2706933,2745178,2783964,2823297,2863187,2903640,2944664,2986268,3028460,3071248,3114641,3158647,3203274,3248532,3294429,3349246,3543542,3620732,3703008,3791085,3886087,3989103,4099493,4216851,4341279,4472569,4610717,4751535,4895005,5045257,5202847,5368454,5542003,5723310,5912721,6111367,6319206,6538533,6768549,7003117,7244912,7497127,7758679,8029311,8310218,8600753,8898957,9203642,9510755,9835461,10183141,10540930,10907622,11281108,11657770,12034101,12409003,12782284,13156408,13537067,13922629,14313451,14708883,15104000,15500556,15901207,16307659,16727949,17164026,17611356,18084010,18583556,19432012,20703000,21474060,21827222,22337558,22730734,22605582,21495830,20072232,19205178,18964252,18983370,19333464,20098252,20772602,21324366
Taiwan,,,2200492,2206523,2212572,2218638,2224722,2230824,2236944,2243081,2249237,2255410,2261601,2267812,2274040,2280285,2286548,2292829,2299128,2305445,2311779,2318131,2324502,2330547,2336954,2343380,2349824,2356288,2362771,2369272,2375789,2382325,2388878,2395448,2402036,2408641,2415264,2421905,2430907,2442307,2456141,2472448,2491264,2512629,2536581,2563159,2592405,2624357,2659041,2694118,2729635,2765548,2803860,2843812,2883315,2921972,2960093,2998609,3038889,3081701,3126952,3173841,3220155,3245910,3307289,3368611,3418865,3454185,3482677,3512112,3547356,3584540,3629484,3687039,3753000,3821548,3894299,3976751,4067286,4162024,4258379,4363465,4477927,4598856,4722048,4846857,4972313,5098092,5228074,5364847,5506146,5653912,5810732,5978221,6146358,6261790,6324518,6337128,6280867,6333895,6571226,7099886,7623139,7934693,8251047,8572129,8897782,9229468,9567059,9909456,10256967,10612776,10983152,11371858,11779060,12200155,12630949,13070711,13515908,13917831,14271108,14617243,14957875,15292070,15617412,15933851,16243908,16551776,16860826,17171488,17482888,17793468,18100280,18400564,18692876,18976102,19249256,19511876,19761802,19995934,20211368,20404386,20586176,20770622,20952226,21125720,21293440,21455818,21612430,21764850,21913670,22057216,22194740,22333124,22469622,22593682,22703098,22796312,22874972,22942314,22998324,23044086,23083086,23143076,23234064,23330332,23422504,23512136,23594476,23665028,23726186,23777742,23821468,23859904
Tajikistan,,,613795,619313,624881,630499,636167,641887,647657,653480,659355,665283,671264,677298,683387,689531,695730,701984,708295,714663,721087,727570,734110,740710,747369,754087,760866,767706,774607,781571,788597,795686,802838,810056,817337,824685,832098,839578,847125,854740,862423,870176,877998,885890,893854,901888,909995,918175,926429,934756,943158,951636,960190,968821,977530,986316,995182,1004127,1013153,1022259,1031448,1040719,1050073,1059512,1069035,1078644,1088339,1098121,1107991,1117950,1128209,1138562,1149010,1159554,1170195,1180933,1191770,1202707,1213744,1224882,1236122,1247465,1258913,1270465,1282124,1293890,1305763,1317746,1329838,1342041,1354357,1366785,1379328,1391985,1404759,1417650,1430659,1443788,1457037,1470407,1483901,1504177,1526142,1582469,1637713,1692883,1748472,1805217,1863794,1924953,1989609,2058900,2132000,2208033,2287185,2368877,2452677,2538305,2625661,2714957,2806576,2899856,2993019,3085969,3180467,3277492,3377764,3482127,3590608,3703014,3818120,3932689,4045966,4160746,4278909,4401499,4529500,4660608,4798283,4946298,5100020,5264333,5417862,5556315,5656216,5717815,5803992,5916183,6035605,6117066,6156815,6189567,6273001,6408813,6541758,6672497,6801206,6929153,7057425,7188397,7324633,7468603,7621785,7784820,7956383,8136612,8326354,8524066,8725326,8925529,9128131,9337008,9543211,9750078
Tanzania,,,5400400,5439040,5455581,5449611,5443646,5437689,5431737,5425793,5419854,5413922,5407997,5402078,5396165,5390259,5384359,5378466,5372579,5366698,5360824,5354956,5349095,5343240,5337391,5331549,5325713,5319883,5314060,5308242,5302432,5299802,5300356,5304095,5311023,5321141,5331277,5341434,5351609,5361804,5372018,5371465,5360214,5338331,5305884,5262937,5220338,5178084,5136172,5094599,5053362,5016437,4983771,4955315,4931016,4910826,4890718,4870692,4850749,4830887,4811106,4795224,4783224,4775089,4770803,4770350,4769896,4769443,4768989,4768536,4768536,4782841,4811667,4855231,4913754,4987460,5062272,5138206,5215279,5293509,5372911,5452398,5531955,5611567,5691219,5770896,5851689,5933613,6016683,6100917,6186329,6278026,6376185,6480991,6592631,6711298,6832102,6955080,7080271,7207716,7337455,7484561,7632405,7834804,8045282,8263716,8490326,8725581,8970011,9224222,9487677,9760173,10042467,10337892,10644625,10960163,11289560,11630608,11981936,12346291,12739969,13167787,13618190,14092217,14595704,15123510,15671323,16243823,16838920,17454628,18080016,18698646,19297660,19890932,20499924,21170722,21857182,22569634,23324272,24099424,24844152,25522898,26206024,26890906,27580728,28469018,29598330,30560072,31140730,31785852,32626500,33499776,34463704,35414464,36353528,37333916,38360884,39439508,40562056,41716500,42870888,43957940,45110532,46416032,47786136,49253648,50814552,52542824,54401804,56267040,58090444,59872584,61704520,63588332
Thailand,,,5233697,5259565,5286766,5315313,5344013,5372867,5401876,5431040,5460361,5489839,5519475,5549271,5579226,5609342,5639619,5670059,5700662,5731429,5762361,5796092,5832659,5872098,5914446,5959742,6005383,6051372,6097713,6144407,6191458,6238868,6286640,6334777,6383281,6432155,6481403,6531026,6581028,6631411,6682179,6736200,6793527,6854216,6918321,6985899,7054136,7123039,7192613,7262866,7333803,7410458,7492954,7581418,7675978,7776763,7878871,7982318,8087121,8193299,8300870,8416674,8540940,8673900,8815793,8966861,9120517,9276803,9435767,9597452,9757835,9935040,10129685,10342405,10573853,10824701,11081501,11344393,11613522,11889035,12171084,12457259,12747597,13042139,13340923,13643988,13953937,14270927,14595119,14926675,15265763,15622855,15998627,16393777,16809028,17245124,17692535,18151553,18622480,19105624,19601304,20135603,20411638,20914572,21443944,21994684,22569798,23173968,23805334,24462196,25135268,25840324,26596590,27399966,28242170,29114124,30013572,30940276,31883754,32839338,33807356,34787584,35791728,36807996,37834384,38873064,39900960,40908472,41882128,42843796,43806716,44760096,45737756,46727288,47700340,48670568,49636732,50594932,51542096,52479184,53410956,54324012,55228408,56099872,56939020,57776080,58610012,59424836,60211100,60989104,61745216,62442652,63066604,63649892,64222576,64776960,65311164,65821360,66319528,66826752,67328240,67813656,68270488,68712848,69157024,69578600,69960944,70294408,70607032,70898208,71127808,71307768,71475664,71601104
Timor,,,203636,206109,208612,211145,213709,216304,218930,221588,224277,226999,229754,232542,235363,238219,241108,244033,246993,249988,253019,256087,259192,262334,265514,268732,271988,275284,278620,281995,285411,288452,291112,293384,295263,296741,298226,299719,301218,302725,304238,305882,307656,309562,311602,313778,315968,318172,320392,322627,324877,327120,329356,331584,333804,336017,338244,340485,342740,345010,347295,349448,351470,353357,355110,356726,358349,359979,361616,363260,365332,368264,372078,376793,382428,389006,395696,402502,409424,416466,423629,429010,432586,434336,434237,432265,430303,428349,426404,424467,422540,420833,419345,418074,417020,416180,415342,414505,413671,412838,412006,412638,414793,418342,422544,427168,432133,437441,443044,448964,455182,461708,468582,475805,483330,491121,499141,507479,516199,525279,534653,544247,554030,563963,574023,584038,592282,600132,609653,619312,627678,634557,642230,649257,655121,662421,671382,682119,694257,707764,722694,739744,758120,772663,783708,795184,807119,819234,831272,843347,855421,866652,878367,893003,909648,926725,945993,969318,994573,1019369,1043085,1065543,1088492,1112985,1137683,1161558,1184842,1205822,1224568,1243238,1261850,1280442,1299998,1320944
Togo,,,507119,510194,513464,516933,520424,523939,527477,531039,534624,538234,541867,545525,549207,552914,556646,560402,564183,567990,571822,576026,580611,585580,590941,596700,602515,608387,614315,620301,626344,632191,637837,643279,648511,653530,658587,663683,668818,673993,679207,684461,689755,695090,700466,705883,711342,716842,722385,727970,733598,739269,744983,750741,756544,762390,768282,774219,780201,786229,792303,798584,805076,811781,818704,825846,833050,840316,847646,855038,861879,870000,879430,890199,902335,915870,929609,943553,957706,972072,986653,1001249,1015859,1030478,1045105,1059737,1074573,1089617,1104872,1120340,1136025,1152863,1170889,1190135,1210636,1232427,1254611,1277194,1300183,1323586,1347411,1371367,1398532,1421236,1444762,1468985,1493743,1518835,1544394,1570542,1597143,1624132,1651372,1678796,1706845,1736703,1772655,1820401,1882464,1957169,2038772,2120491,2197384,2267214,2330709,2390915,2450343,2509720,2569673,2630637,2693399,2761249,2838115,2925873,3023347,3126633,3232246,3336512,3439376,3544933,3653426,3763661,3875958,3990223,4106228,4078396,4092613,4279573,4445892,4592557,4728298,4867949,5008043,5145430,5281548,5421000,5565213,5711605,5874244,6047539,6222491,6398626,6571862,6748675,6926634,7106238,7288381,7473232,7661361,7852799,8046680,8243093,8442583,8644829
Tonga,,,18517,18543,18574,18611,18648,18685,18722,18760,18797,18835,18872,18910,18947,18985,19023,19061,19099,19137,19175,19213,19251,19290,19328,19367,19405,19444,19483,19521,19560,19599,19638,19677,19716,19755,19795,19834,19873,19913,19953,19992,20032,20072,20112,20152,20192,20232,20272,20312,20353,20444,20588,20784,21035,21340,21649,21963,22282,22605,22933,23238,23521,23781,24017,24228,24441,24656,24873,25092,25302,25548,25830,26149,26507,26903,27305,27714,28128,28549,28976,29415,29868,30334,30814,31309,31811,32321,32839,33365,33900,34542,35296,36167,37159,38278,39431,40618,41841,43101,44399,45770,49849,51312,52855,54492,56212,58043,59960,61836,63641,65517,67447,69405,71405,73460,75562,77702,79815,81746,83444,85011,86493,87923,89292,90627,92024,93490,94938,95868,96243,96524,96725,96861,96951,96996,97041,97074,97099,97408,97955,98397,98744,99031,99276,99507,99752,99995,100209,100670,101360,101995,102620,103224,103822,104426,105054,105644,106202,106651,106945,107159,107401,107625,107517,107105,106639,106140,105721,105430,105167,104965,105265,106034
Trinidad and Tobago,,,80585,81970,83572,85399,87265,89172,91120,93111,95146,97249,99424,101672,103995,106395,108851,111364,113935,116565,119256,122255,125579,129243,133263,137658,142197,146886,151730,156733,161901,166961,171902,176713,181382,185897,190524,195266,200127,205108,210214,215283,220310,225291,230221,235096,240074,245157,250348,255648,261061,266614,272312,278156,284152,290303,296587,303007,309566,316267,323113,329766,336216,342453,348466,354245,360120,366092,372163,378334,384492,389779,394176,397665,400228,401844,403467,405097,406733,408376,410025,412693,416401,421170,427020,433973,441040,448222,455521,462939,470478,479351,489614,501327,514549,529344,544564,560222,576330,592901,609949,627518,648619,665289,682811,701369,721450,742582,763638,784575,805959,827142,847067,865031,881519,897667,913402,928470,942602,955688,967711,978647,988902,1000135,1013043,1026564,1040297,1054023,1067703,1081696,1096570,1112315,1127853,1142703,1157141,1171278,1184752,1199791,1216376,1231446,1244637,1256212,1266525,1276232,1285506,1293979,1301401,1307831,1313442,1318179,1322582,1327067,1332203,1338576,1345970,1353552,1361180,1369078,1376932,1384861,1392808,1401197,1410297,1420021,1430379,1440731,1450663,1460180,1469334,1478616,1504707,1519960,1518142,1525671
Tunisia,,,1114077,1124891,1136270,1148224,1160303,1172509,1184844,1197308,1209902,1222630,1235490,1248486,1261618,1274889,1288298,1301848,1315541,1329378,1343359,1357488,1371765,1386191,1400770,1415501,1430387,1445429,1460630,1475989,1491510,1507195,1523043,1539059,1555242,1571595,1588121,1604819,1621693,1638744,1655974,1673266,1690619,1708034,1725508,1743042,1760754,1778645,1796718,1814975,1833416,1854490,1878265,1904812,1934201,1966505,1999349,2032741,2066690,2101205,2136297,2167018,2193264,2214933,2231918,2244112,2256372,2268698,2281092,2293553,2305150,2319610,2336979,2357302,2380626,2406999,2433664,2460624,2487883,2515444,2543311,2574922,2610379,2649788,2693255,2740889,2789366,2838700,2888906,2940000,2991998,3043266,3093765,3143457,3192301,3240258,3288936,3338345,3388496,3439400,3491069,3546337,3606294,3673788,3744377,3818152,3894785,3975549,4046368,4091661,4123891,4157898,4195466,4236395,4281749,4332930,4389421,4457284,4548976,4661276,4785014,4915168,5047403,5182042,5320160,5463656,5613122,5769080,5930005,6092776,6254888,6416195,6578159,6744052,6914964,7091271,7279157,7476095,7675506,7874308,8068792,8256402,8440035,8622857,8802535,8977175,9143139,9294106,9430552,9557957,9677147,9788065,9893326,9995115,10094564,10193798,10292230,10388349,10483560,10580399,10680381,10784499,10895063,11032529,11174384,11300284,11428953,11557779,11685666,11811441,11933040,12049319,12161720,12262949
Turkey,Asia,https://public.flourish.studio/country-flags/svg/tr.svg,11072856,11108760,11144780,11180916,11217169,11253540,11290029,11326636,11363362,11400207,11437171,11474254,11511458,11548783,11586228,11623795,11661483,11699294,11737227,11782077,11833908,11892786,11958776,12031944,12105559,12179625,12254144,12329118,12404551,12480446,12556805,12633631,12710927,12788696,12866940,12945663,13024868,13104557,13184734,13265401,13346561,13428218,13510374,13593033,13676198,13759871,13844057,13928757,14013975,14099714,14185978,14272770,14360092,14447949,14536343,14625278,14714757,14804783,14895359,14944930,14953559,14921307,14848236,14734404,14621444,14509350,14398115,14287732,14176980,14109179,14084303,14102330,14163242,14267020,14371559,14476863,14582940,14689793,14797430,14937518,15110862,15318282,15560613,15838708,16121772,16409896,16703169,17001683,17305532,17612179,17921628,18233883,18548948,18866826,19190151,19519018,19853520,20193755,20539820,20943860,20977698,21519608,22094504,22690584,23267966,23821346,24473658,25238754,26007696,26768164,27510982,28255008,29033646,29827882,30612824,31374540,32172782,33026492,33884076,34721988,35540988,36359956,37188036,38028236,38863424,39673588,40500996,41385656,42292208,43187472,44089068,44981876,45949992,47026424,48106772,49175680,50223888,51250156,52275892,53305236,54324140,55321172,56302040,57296008,58310244,59305492,60293784,61277420,62242200,63185620,64113548,65072016,65988664,66867324,67785080,68704712,69601328,70468864,71320728,72225648,73195352,74173856,75277440,76576120,78112064,79646176,81019400,82089824,82809304,83481688,84135432,84775408
Turkmenistan,,,483028,487419,491851,496323,500835,505389,509984,514621,519300,524021,528786,533593,538445,543340,548280,553265,558295,563371,568493,573662,578878,584141,589452,594811,600219,605676,611183,616740,622347,628005,633715,639476,645290,651157,657077,663051,669080,675163,681301,687495,693746,700053,706418,712841,719322,725861,732461,739120,745840,752621,759463,766368,773336,780367,787462,794621,801845,809135,816492,823915,831406,838964,846592,854289,862056,869893,877802,885782,893911,902114,910392,918746,927177,935686,944272,952937,961682,970507,979413,988401,997471,1006624,1015862,1025184,1034592,1044086,1053667,1063336,1073094,1082941,1092879,1102908,1113029,1123243,1133550,1143952,1154450,1165044,1175735,1190998,1214109,1237250,1263432,1293177,1326522,1363509,1404221,1448677,1496709,1547947,1602052,1658580,1716868,1776392,1836628,1897096,1957561,2018029,2078588,2139568,2201432,2264440,2328376,2393333,2459332,2525761,2592282,2659022,2726330,2794399,2862908,2932936,3005975,3082203,3162167,3246888,3336772,3430503,3525116,3621309,3720287,3821784,3926374,4031701,4133044,4226625,4301092,4363678,4431523,4501087,4569135,4635100,4698972,4758992,4819793,4885780,4954032,5024897,5100089,5180961,5267975,5360813,5458688,5560099,5663159,5766427,5868568,5968388,6065072,6158424,6250442,6341850
